step,epoch,iteration,loss
0,1,1,10.472816467285156
1,1,2,7.552659511566162
2,1,3,8.556815147399902
3,1,4,9.821067810058594
4,1,5,8.507987976074219
5,1,6,8.967741966247559
6,1,7,7.8097333908081055
7,2,1,7.516745567321777
8,2,2,6.800112247467041
9,2,3,5.713457107543945
10,2,4,5.063934326171875
11,2,5,5.041065692901611
12,2,6,4.203912258148193
13,2,7,4.228696346282959
14,3,1,3.8679585456848145
15,3,2,3.631840705871582
16,3,3,3.7689411640167236
17,3,4,3.4391303062438965
18,3,5,3.2398836612701416
19,3,6,3.179793119430542
20,3,7,3.0292983055114746
21,4,1,2.9551937580108643
22,4,2,2.791769504547119
23,4,3,2.657902717590332
24,4,4,2.7025866508483887
25,4,5,2.335000991821289
26,4,6,2.2696566581726074
27,4,7,2.3202736377716064
28,5,1,2.21195650100708
29,5,2,2.18900203704834
30,5,3,2.1187751293182373
31,5,4,2.0295474529266357
32,5,5,1.8593268394470215
33,5,6,2.141143560409546
34,5,7,1.8838413953781128
35,6,1,1.8848639726638794
36,6,2,1.9404948949813843
37,6,3,1.838827133178711
38,6,4,1.7346901893615723
39,6,5,1.7602187395095825
40,6,6,1.6908369064331055
41,6,7,1.6908752918243408
42,7,1,1.7240889072418213
43,7,2,1.6254328489303589
44,7,3,1.692430019378662
45,7,4,1.644869327545166
46,7,5,1.5991582870483398
47,7,6,1.6946892738342285
48,7,7,1.5493683815002441
49,8,1,1.5759316682815552
50,8,2,1.533508062362671
51,8,3,1.4632525444030762
52,8,4,1.6030174493789673
53,8,5,1.5205422639846802
54,8,6,1.50702702999115
55,8,7,1.5566216707229614
56,9,1,1.6654208898544312
57,9,2,1.4809114933013916
58,9,3,1.5219813585281372
59,9,4,1.4682555198669434
60,9,5,1.4571613073349
61,9,6,1.4348329305648804
62,9,7,1.516126036643982
63,10,1,1.5116790533065796
64,10,2,1.4879595041275024
65,10,3,1.457035779953003
66,10,4,1.4061470031738281
67,10,5,1.387520670890808
68,10,6,1.4789001941680908
69,10,7,1.4082415103912354
